ID,Airport,City,Country
4358,Kzyl-Orda Southwest Airport,Kzyl-Orda,Kazakhstan
4359,South Bend Regional Airport,South Bend,United States
4360,Bykovo Airport,Moscow,Russia
4361,Chintheche,Chintheche,Malawi
4362,Talagi Airport,Arkhangelsk,Russia
4363,Saratov Central Airport,Saratov,Russia
4364,Novy Urengoy Airport,Novy Urengoy,Russia
4365,Noyabrsk Airport,Noyabrsk,Russia
4367,Aktau Airport,Aktau,Kazakhstan
4368,Ukhta Airport,Ukhta,Russia
4369,Usinsk Airport,Usinsk,Russia
4370,Pechora Airport,Pechora,Russia
4371,Naryan Mar Airport,Naryan-Mar,Russia
4372,Pskov Airport,Pskov,Russia
4373,Kogalym International Airport,Kogalym,Russia
4374,Yemelyanovo Airport,Krasnoyarsk,Russia
4375,Sary-Arka Airport,Karaganda,Kazakhstan
4376,Novosibirsk North Airport,Novosibirsk,Russia
4377,Uray Airport,Uraj,Russia
4378,Turkmenabat,Turkmenabat,Turkmenistan
4379,Ivanovo South Airport,Ivanovo,Russia
4380,Longjia Airport,Changchun,China
4381,Niigata Airport,Niigata,Japan
4382,Johnston Atoll Airport,Johnston Island,Johnston Atoll
4383,Smith Field,Fort Wayne IN,United States
4384,Arcata Airport,Arcata CA,United States
4385,Camp Mabry Austin City,Austin TX,United States
4386,Albert J Ellis Airport,Jacksonville NC,United States
4387,Tuscaloosa Regional Airport,Tuscaloosa AL,United States
4388,Dubuque Regional Airport,Dubuque IA,United States
4389,Forde Bringeland,Forde,Norway
4390,Shun Tak Heliport,Hong Kong,Hong Kong
5404,Uru Harbour Airport,Atoifi,Solomon Islands
5405,Auki Airport,Auki,Solomon Islands
5406,Ballalae Airport,Ballalae,Solomon Islands
5407,Fera/Maringe Airport,Fera Island,Solomon Islands
5408,Babanakira Airport,Mbambanakira,Solomon Islands
5409,Ngorangora Airport,Kirakira,Solomon Islands
5410,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands
5411,Munda Airport,Munda,Solomon Islands
5412,Nusatupe Airport,Gizo,Solomon Islands
5413,Mono Airport,Stirling Island,Solomon Islands
5414,Rennell/Tingoa Airport,Rennell Island,Solomon Islands
5415,Marau Airport,Marau,Solomon Islands
5416,Suavanao Airport,Suavanao,Solomon Islands
5417,Kaghau Airport,Kagau Island,Solomon Islands
5418,Ramata Airport,Ramata,Solomon Islands
5419,Buka Airport,Buka Island,Papua New Guinea
5420,Chimbu Airport,Kundiawa,Papua New Guinea
5421,Daru Airport,Daru,Papua New Guinea
5422,Gurney Airport,Gurney,Papua New Guinea
5423,Girua Airport,Girua,Papua New Guinea
5424,Kimbe Airport,Hoskins,Papua New Guinea
5425,Kiunga Airport,Kiunga,Papua New Guinea
5426,Kikori Airport,Kikori,Papua New Guinea
5427,Kerema Airport,Kerema,Papua New Guinea
5428,Kavieng Airport,Kavieng,Papua New Guinea
5429,Mendi Airport,Mendi,Papua New Guinea
5430,Momote Airport,Momote,Papua New Guinea
5431,Moro Airport,Moro,Papua New Guinea
5432,Misima Island Airport,Misima Island,Papua New Guinea
5433,Tari Airport,Tari,Papua New Guinea
5434,Tabubil Airport,Tabubil,Papua New Guinea
5435,Tokua Airport,Tokua,Papua New Guinea
5436,Vanimo Airport,Vanimo,Papua New Guinea
5437,Wapenamanda Airport,Wapenamanda,Papua New Guinea
5438,Alluitsup Paa Heliport,Alluitsup Paa,Greenland
5439,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland
5440,Paamiut Heliport,Paamiut,Greenland
5441,Qeqertarsuaq Heliport,Qeqertarsuaq Airport,Greenland
5442,Qaqortoq Heliport,Qaqortoq,Greenland
5443,Maniitsoq Airport,Maniitsoq,Greenland
5444,Nanortalik Heliport,Nanortalik,Greenland
5445,Narsaq Heliport,Narsaq,Greenland
5446,Qaanaaq Airport,Qaanaaq,Greenland
5447,Sisimiut Airport,Sisimiut,Greenland
5448,Upernavik Airport,Upernavik,Greenland
5449,Qaarsut Airport,Uummannaq,Greenland
5450,Grímsey Airport,Grímsey,Iceland
5452,Thorshofn Airport,Thorshofn,Iceland
5453,Vopnafjörður Airport,Vopnafjörður,Iceland
5454,Caye Caulker Airport,Caye Caulker,Belize
5455,Punta Gorda Airport,Punta Gorda,Belize
5456,Whistler/Green Lake Water Aerodrome,Whistler,Canada
5457,Anahim Lake Airport,Anahim Lake,Canada
5458,Williams Harbour Airport,Williams Harbour,Canada
5459,St. Lewis (Fox Harbour) Airport,St. Lewis,Canada
5460,Port Hope Simpson Airport,Port Hope Simpson,Canada
5461,Rigolet Airport,Rigolet,Canada
5462,Colville Lake Airport,Colville Lake,Canada
5463,Whatì Airport,Whatì,Canada
5464,Summer Beaver Airport,Summer Beaver,Canada
5465,Wapekeka Airport,Angling Lake,Canada
5466,Wunnumin Lake Airport,Wunnumin Lake,Canada
5467,North Spirit Lake Airport,North Spirit Lake,Canada
5468,Bearskin Lake Airport,Bearskin Lake,Canada
5469,Kingfisher Lake Airport,Kingfisher Lake,Canada
5470,Ogoki Post Airport,Ogoki Post,Canada
5471,Poplar Hill Airport,Poplar Hill,Canada
5472,Chisasibi Airport,Chisasibi,Canada
5473,Tête-à-la-Baleine Airport,Tête-à-la-Baleine,Canada
5474,La Tabatière Airport,La Tabatière,Canada
5475,Nantong Airport,Nantong,China
5476,Apartadó Airport,Apartadó,Colombia
5477,Tarapacá Airport,Tarapacá,Colombia
5478,Cat Lake Airport,Cat Lake,Canada
5479,Fort Frances Municipal Airport,Fort Frances,Canada
5480,Kasabonika Airport,Kasabonika,Canada
5481,Kangirsuk Airport,Kangirsuk,Canada
5482,Attawapiskat Airport,Attawapiskat,Canada
5483,Lac Du Bonnet Airport,Lac Du Bonnet,Canada
5484,Uranium City Airport,Uranium City,Canada
5485,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada
5486,Cartwright Airport,Cartwright,Canada
5487,Chesterfield Inlet Airport,Chesterfield Inlet,Canada
5488,Nain Airport,Nain,Canada
5489,Fort Severn Airport,Fort Severn,Canada
5490,Fort Albany Airport,Fort Albany,Canada
5491,Fort Hope Airport,Fort Hope,Canada
5492,Makkovik Airport,Makkovik,Canada
5493,Texada Gillies Bay Airport,Texada,Canada
5494,Gods Lake Narrows Airport,Gods Lake Narrows,Canada
5495,Igloolik Airport,Igloolik,Canada
5496,Kuujjuarapik Airport,Kuujjuarapik,Canada
5497,Gillam Airport,Gillam,Canada
5498,Grise Fiord Airport,Grise Fiord,Canada
5499,Quaqtaq Airport,Quaqtaq,Canada
5500,Vancouver Harbour Water Aerodrome,Vancouver,Canada
5501,Nemiscau Airport,Nemiscau,Canada
5502,Hopedale Airport,Hopedale,Canada
5503,Chevery Airport,Chevery,Canada
5504,Ivujivik Airport,Ivujivik,Canada
5505,Island Lake Airport,Island Lake,Canada
5506,Akulivik Airport,Akulivik,Canada
5507,Waskaganish Airport,Waskaganish,Canada
5508,Aupaluk Airport,Aupaluk,Canada
5509,Kimmirut Airport,Kimmirut,Canada
5510,Lansdowne House Airport,Lansdowne House,Canada
5511,St Georges Airport,Lutselk'e,Canada
5512,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,Canada
5513,Mary's Harbour Airport,Mary's Harbour,Canada
5514,Chapais Airport,Chibougamau,Canada
5515,Umiujaq Airport,Umiujaq,Canada
5516,Wemindji Airport,Wemindji,Canada
5517,Norway House Airport,Norway House,Canada
5518,Points North Landing Airport,Points North Landing,Canada
5519,Oxford House Airport,Oxford House,Canada
5520,Inukjuak Airport,Inukjuak,Canada
5521,Pikangikum Airport,Pikangikum,Canada
5522,Peawanuck Airport,Peawanuck,Canada
5523,Powell River Airport,Powell River,Canada
5524,The Pas Airport,The Pas,Canada
5525,Nakina Airport,Nakina,Canada
5526,Rae Lakes Airport,Gamètì,Canada
5527,Red Lake Airport,Red Lake,Canada
5528,Stony Rapids Airport,Stony Rapids,Canada
5529,Sanikiluaq Airport,Sanikiluaq,Canada
5530,St. Theresa Point Airport,St. Theresa Point,Canada
5531,Big Trout Lake Airport,Big Trout Lake,Canada
5532,Deer Lake Airport,Deer Lake,Canada
5533,Webequie Airport,Webequie,Canada
5534,Whale Cove Airport,Whale Cove,Canada
5535,Salluit Airport,Salluit,Canada
5536,York Landing Airport,York Landing,Canada
5537,Ilford Airport,Ilford,Canada
5538,Bathurst Airport,Bathurst,Canada
5539,Eastmain River Airport,Eastmain River,Canada
5540,Fond-Du-Lac Airport,Fond-Du-Lac,Canada
5541,Gods River Airport,Gods River,Canada
5542,Swan River Airport,Swan River,Canada
5543,Kashechewan Airport,Kashechewan,Canada
5544,Muskrat Dam Airport,Muskrat Dam,Canada
5545,Masset Airport,Masset,Canada
5546,Sachigo Lake Airport,Sachigo Lake,Canada
5547,Round Lake (Weagamow Lake) Airport,Round Lake,Canada
5548,Sandy Lake Airport,Sandy Lake,Canada
5549,Shamattawa Airport,Shamattawa,Canada
5550,Churchill Falls Airport,Churchill Falls,Canada
5551,Wollaston Lake Airport,Wollaston Lake,Canada
5552,Batna Airport,Batna,Algeria
5553,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria
5554,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria
5555,Guemar Airport,Guemar,Algeria
5556,Kumasi Airport,Kumasi,Ghana
5557,Heringsdorf Airport,Heringsdorf,Germany
5558,Heide-Büsum Airport,Büsum,Germany
5559,Helgoland-Düne Airport,Helgoland,Germany
5560,Seinäjoki Airport,Seinäjoki / Ilmajoki,Finland
5561,Nottingham Airport,Nottingham,United Kingdom
5562,Robin Hood Doncaster Sheffield Airport,"Doncaster, Sheffield",United Kingdom
5563,Campbeltown Airport,Campbeltown,United Kingdom
5564,Eday Airport,Eday,United Kingdom
5565,Fair Isle Airport,Fair Isle,United Kingdom
5566,North Ronaldsay Airport,North Ronaldsay,United Kingdom
5567,Papa Westray Airport,Papa Westray,United Kingdom
5568,Stronsay Airport,Stronsay,United Kingdom
5569,Sanday Airport,Sanday,United Kingdom
5570,Lerwick / Tingwall Airport,Lerwick,United Kingdom
5571,Westray Airport,Westray,United Kingdom
5572,Land's End Airport,Land's End,United Kingdom
5573,Penzance Heliport,Penzance,United Kingdom
5574,Anglesey Airport,Angelsey,United Kingdom
5575,Barra Airport,Barra,United Kingdom
5577,Donegal Airport,Dongloe,Ireland
5578,Weston Airport,Leixlip,Ireland
5579,Sindal Airport,Sindal,Denmark
5580,Leknes Airport,Leknes,Norway
5581,Namsos Høknesøra Airport,Namsos,Norway
5582,"Mo i Rana Airport, Røssvoll",Mo i Rana,Norway
5583,"Rørvik Airport, Ryum",Rørvik,Norway
5584,Røst Airport,Røst,Norway
5585,Sandane Airport (Anda),Sandane,Norway
5586,Sogndal Airport,Sogndal,Norway
5587,Svolvær Helle Airport,Svolvær,Norway
5588,Sørkjosen Airport,Sorkjosen,Norway
5589,"Vardø Airport, Svartnes",Vardø,Norway
5590,Værøy Heliport,Værøy,Norway
5591,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,Poland
5592,Łódź Władysław Reymont Airport,Lodz,Poland
5593,Åre Östersund Airport,Östersund,Sweden
5594,Hagfors Airport,Hagfors,Sweden
5595,Karlstad Airport,Karlstad,Sweden
5596,Torsby Airport,Torsby,Sweden
5597,Ängelholm-Helsingborg Airport,Ängelholm,Sweden
5598,Storuman Airport,Mohed,Sweden
5599,Hemavan Airport,Hemavan,Sweden
5600,Shilavo Airport,Shilavo,Ethiopia
5601,Shire Inda Selassie Airport,Shire Indasilase,Ethiopia
5602,Ventspils International Airport,Ventspils,Latvia
5603,Rand Airport,Johannesburg,South Africa
5604,Kruger Mpumalanga International Airport,Mpumalanga,South Africa
5605,Malamala Airport,Malamala,South Africa
5606,Mmabatho International Airport,Mafeking,South Africa
5607,Ghanzi Airport,Ghanzi,Botswana
5608,Orapa Airport,Orapa,Botswana
5609,Shakawe Airport,Shakawe,Botswana
5610,Limpopo Valley Airport,Tuli Lodge,Botswana
5611,Ngot Nzoungou Airport,Loubomo,Congo (Brazzaville)
5612,Chipata Airport,Chipata,Zambia
5613,Los Alamitos Army Air Field,Solwesi,Zambia
5614,Iconi Airport,Moroni,Comoros
5615,Antsalova Airport,Antsalova,Madagascar
5616,Ankavandra Airport,Ankavandra,Madagascar
5617,Belo sur Tsiribihina Airport,Belo sur Tsiribihina,Madagascar
5618,Maintirano Airport,Maintirano,Madagascar
5619,Morafenobe Airport,Morafenobe,Madagascar
5620,Tambohorano Airport,Tambohorano,Madagascar
5621,Tsiroanomandidy Airport,Tsiroanomandidy,Madagascar
5622,Ambatondrazaka Airport,Ambatondrazaka,Madagascar
5623,Port Bergé Airport,Port Bergé,Madagascar
5624,Ambanja Airport,Ambanja,Madagascar
5625,Soalala Airport,Soalala,Madagascar
5626,Mampikony Airport,Mampikony,Madagascar
5627,Nasa Shuttle Landing Facility Airport,Tsaratanana,Madagascar
5628,Mandritsara Airport,Mandritsara,Madagascar
5629,Manja Airport,Manja,Madagascar
5630,Catumbela Airport,Catumbela,Angola
5631,Dundo Airport,Dundo,Angola
5632,Ngjiva Pereira Airport,Ondjiva,Angola
5633,Namibe Airport,Mocamedes,Angola
5634,Koulamoutou Mabimbi Airport,Koulamoutou,Gabon
5635,Mouilla Ville Airport,Mouila,Gabon
5636,Tchibanga Airport,Tchibanga,Gabon
5637,Chimoio Airport,Chimoio,Mozambique
5638,Croisette Heliport,Cannes,France
5639,Sarh Airport,Sarh,Chad
5640,Club Makokola Airport,Club Makokola,Malawi
5641,Luderitz Airport,Luderitz,Namibia
5642,Ondangwa Airport,Ondangwa,Namibia
5643,Oranjemund Airport,Oranjemund,Namibia
5644,Swakopmund Airport,Swakopmund,Namibia
5645,Eros Airport,Windhoek,Namibia
5646,Boma Airport,Boma,Congo (Kinshasa)
5647,Tshimpi Airport,Matadi,Congo (Kinshasa)
5648,Inongo Airport,Inongo,Congo (Kinshasa)
5649,Nioki Airport,Nioki,Congo (Kinshasa)
5650,Basango Mboliasa Airport,Kiri,Congo (Kinshasa)
5651,Basankusu Airport,Basankusu,Congo (Kinshasa)
5652,Tshikapa Airport,Tshikapa,Congo (Kinshasa)
5653,Lodja Airport,Lodja,Congo (Kinshasa)
5654,Ilebo Airport,Ilebo,Congo (Kinshasa)
5655,Gamba,Gamba,Gabon
5656,Foula Airport,Foula,United Kingdom
5657,Outer Skerries Airport,Outer Skerries,United Kingdom
5658,Papa Stour Airport,Papa Stour,United Kingdom
5659,La Gomera Airport,La Gomera,Spain
5660,Lauriston Airport,Carriacou Island,Grenada
5661,Ceuta Heliport,Ceuta,Spain
5662,Sherbro International Airport,Bonthe,Sierra Leone
5663,Bo Airport,Bo,Sierra Leone
5664,Kenema Airport,Kenema,Sierra Leone
5665,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau
5666,Groennedal Heliport,Groennedal,Greenland
5667,Akunnaaq Heliport,Akunnaaq,Greenland
5668,Iginniarfik Heliport,Iginniarfik,Greenland
5669,Smara Airport,Smara,Western Sahara
5670,Dakhla Airport,Dakhla,Western Sahara
5671,Mogador Airport,Essadouira,Morocco
5672,Hassan I Airport,El Aaiún,Western Sahara
5673,Nador International Airport,El Aroui,Morocco
5674,Praia International Airport,"Praia, Santiago Island",Cape Verde
5675,São Filipe Airport,"Sao Filipe, Fogo Island",Cape Verde
5676,Baco Airport,Baco,Ethiopia
5677,Beica Airport,Beica,Ethiopia
5678,Combolcha Airport,Dessie,Ethiopia
5679,Dembidollo Airport,Dembidollo,Ethiopia
5680,Gode Airport,Gode,Ethiopia
5681,Gore Airport,Gore,Ethiopia
5682,Kabri Dehar Airport,Kabri Dehar,Ethiopia
5683,Mizan Teferi Airport,Mizan Teferi,Ethiopia
5684,Tippi Airport,Tippi,Ethiopia
5685,Alula Airport,Alula,Somalia
5686,Bosaso Airport,Bosaso,Somalia
5687,Aden Adde International Airport,Mogadishu,Somalia
5688,Galcaio Airport,Galcaio,Somalia
5689,Burao Airport,Burao,Somalia
5690,El Arish International Airport,El Arish,Egypt
5691,Assiut International Airport,Asyut,Egypt
5692,Amboseli Airport,Amboseli National Park,Kenya
5693,Lokichoggio Airport,Lokichoggio,Kenya
5694,Malindi Airport,Malindi,Kenya
5695,Nanyuki Airport,Nanyuki,Kenya
5696,Gardabya Airport,Sirt,Libya
5697,Gamal Abdel Nasser Airport,Tobruk,Libya
5698,Mitiga Airport,Tripoli,Libya
5699,La Abraq Airport,Al Bayda',Libya
5700,Atbara Airport,Atbara,Sudan
5701,Nyala Airport,Nyala,Sudan
5702,Port Sudan New International Airport,Port Sudan,Sudan
5703,Bukoba Airport,Bukoba,Tanzania
5704,Kigoma Airport,Kigoma,Tanzania
5705,Kikwetu Airport,Lindi,Tanzania
5706,Musoma Airport,Musoma,Tanzania
5707,Shinyanga Airport,Shinyanga,Tanzania
5708,Tabora Airport,Tabora,Tanzania
5709,Arua Airport,Arua,Uganda
5710,Gulu Airport,Gulu,Uganda
5711,Diu Airport,Diu,India
5712,Gheshm Airport,Gheshm,Iran
5713,San Domino Island Heliport,Tremiti Islands,Italy
5714,Aberdeen Regional Airport,Aberdeen,United States
5715,Southwest Georgia Regional Airport,Albany,United States
5716,Athens Ben Epps Airport,Athens,United States
5717,Alamogordo White Sands Regional Airport,Alamogordo,United States
5718,Waterloo Regional Airport,Waterloo,United States
5719,Walla Walla Regional Airport,Walla Walla,United States
5720,Alpena County Regional Airport,Alpena,United States
5721,Watertown Regional Airport,Watertown,United States
5722,Bradford Regional Airport,Bradford,United States
5723,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States
5724,Raleigh County Memorial Airport,Beckley,United States
5725,Brunswick Golden Isles Airport,Brunswick,United States
5726,Southeast Iowa Regional Airport,Burlington,United States
5727,Jack Mc Namara Field Airport,Crescent City,United States
5728,Cape Girardeau Regional Airport,Cape Girardeau,United States
5729,Chippewa County International Airport,Sault Ste Marie,United States
5730,North Central West Virginia Airport,Clarksburg,United States
5731,William R Fairchild International Airport,Port Angeles,United States
5732,Houghton County Memorial Airport,Hancock,United States
5733,Dodge City Regional Airport,Dodge City,United States
5734,DuBois Regional Airport,Du Bois,United States
5735,Chippewa Valley Regional Airport,Eau Claire,United States
5736,Elko Regional Airport,Elko,United States
5737,New Bedford Regional Airport,New Bedford,United States
5738,Fayetteville Regional Grannis Field,Fayetteville,United States
5739,Wokal Field Glasgow International Airport,Glasgow,United States
5740,Central Nebraska Regional Airport,Grand Island,United States
5741,Memorial Field,Hot Springs,United States
5742,Tri-State/Milton J. Ferguson Field,Huntington,United States
5743,Kili Airport,Kili Island,Marshall Islands
5744,Kirksville Regional Airport,Kirksville,United States
5745,Jamestown Regional Airport,Jamestown,United States
5746,Laramie Regional Airport,Laramie,United States
5747,Arnold Palmer Regional Airport,Latrobe,United States
5748,North Platte Regional Airport Lee Bird Field,North Platte,United States
5749,Lebanon Municipal Airport,Lebanon,United States
5750,Klamath Falls Airport,Klamath Falls,United States
5751,Lancaster Airport,Lancaster,United States
5752,Lewistown Municipal Airport,Lewistown,United States
5753,Lynchburg Regional Preston Glenn Field,Lynchburg,United States
5754,Muskegon County Airport,Muskegon,United States
5755,Frank Wiley Field,Miles City,United States
5756,Northwest Alabama Regional Airport,Muscle Shoals,United States
5757,Southwest Oregon Regional Airport,North Bend,United States
5758,Owensboro Daviess County Airport,Owensboro,United States
5759,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States
5760,Pocatello Regional Airport,Pocatello,United States
5761,Pierre Regional Airport,Pierre,United States
5762,Pellston Regional Airport of Emmet County Airport,Pellston,United States
5763,Portsmouth International at Pease Airport,Portsmouth,United States
5764,Reading Regional Carl A Spaatz Field,Reading,United States
5765,Rhinelander Oneida County Airport,Rhinelander,United States
5766,Rock Springs Sweetwater County Airport,Rock Springs,United States
5767,Rutland - Southern Vermont Regional Airport,Rutland,United States
5768,San Luis County Regional Airport,San Luis Obispo,United States
5769,Sheridan County Airport,Sheridan,United States
5770,Adirondack Regional Airport,Saranac Lake,United States
5771,Salina Municipal Airport,Salina,United States
5772,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,United States
5773,Tupelo Regional Airport,Tupelo,United States
5774,Quincy Regional Baldwin Field,Quincy,United States
5775,Victoria Regional Airport,Victoria,United States
5776,Valdosta Regional Airport,Valdosta,United States
5777,Worland Municipal Airport,Worland,United States
5778,Kiwayu (Mkononi) Airport,Kiwayu,Kenya
5779,Yakima Air Terminal McAllister Field,Yakima,United States
5780,Ercan International Airport,Nicosia,Cyprus
5781,Logroño-Agoncillo Airport,Logroño-Agoncillo,Spain
5782,Île d'Yeu Airport,Île d'Yeu,France
5783,Angers-Loire Airport,Angers/Marcé,France
5786,La Môle Airport,La Môle,France
5787,Syros Airport,Syros Island,Greece
5788,Pécs-Pogány Airport,Pécs-Pogány,Hungary
5789,Győr-Pér International Airport,Győr,Hungary
5790,Sármellék International Airport,Sármellék,Hungary
5791,Aosta Airport,Aosta,Italy
5792,Salerno Costa d'Amalfi Airport,Salerno,Italy
5793,Corvo Airport,Corvo,Portugal
5794,Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina
5795,Uşak Airport,Usak,Turkey
5796,Kars Airport,Kars,Turkey
5797,Şanlıurfa Airport,Sanliurfa,Turkey
5798,Kahramanmaraş Airport,Kahramanmaras,Turkey
5799,Ağrı Airport,Agri,Turkey
5800,Adıyaman Airport,Adiyaman,Turkey
5801,Süleyman Demirel International Airport,Isparta,Turkey
5802,Balıkesir Körfez Airport,Balikesir Korfez,Turkey
5803,Samsun Çarşamba Airport,Samsun,Turkey
5804,Misratah Airport,Misratah,Libya
5805,Ubari Airport,Ubari,Libya
5806,Žilina Airport,Žilina,Slovakia
5807,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands
5808,Middle Caicos Airport,Middle Caicos,Turks and Caicos Islands
5809,Salt Cay Airport,Salt Cay,Turks and Caicos Islands
5810,Samaná El Catey International Airport,Samana,Dominican Republic
5811,La Isabela International Airport,La Isabela,Dominican Republic
5812,Puerto Barrios Airport,Puerto Barrios,Guatemala
5813,Quezaltenango Airport,Quezaltenango,Guatemala
5814,Utirik Airport,Utirik Island,Marshall Islands
5815,Ailuk Airport,Ailuk Island,Marshall Islands
5816,Aur Island Airport,Aur Atoll,Marshall Islands
5817,Enyu Airfield,Bikini Atoll,Marshall Islands
5818,Jabot Airport,Ailinglapalap Atoll,Marshall Islands
5819,Jeh Airport,Ailinglapalap Atoll,Marshall Islands
5820,Kaben Airport,Kaben,Marshall Islands
5821,Likiep Airport,Likiep Island,Marshall Islands
5822,Maloelap Island Airport,Maloelap Island,Marshall Islands
5823,Mejit Atoll Airport,Mejit Atoll,Marshall Islands
5824,Majkin Airport,Majkin,Marshall Islands
5825,Namorik Atoll Airport,Namorik Atoll,Marshall Islands
5826,Rongelap Island Airport,Rongelap Island,Marshall Islands
5827,Jaluit Airport,Jabor Jaluit Atoll,Marshall Islands
5828,Woja Airport,Majuro Atoll,Marshall Islands
5829,Wotje Atoll Airport,Wotje Atoll,Marshall Islands
5830,Wotho Island Airport,Wotho Island,Marshall Islands
5831,Ahuas Airport,Ahuas,Honduras
5832,Puerto Lempira Airport,Puerto Lempira,Honduras
5833,Mili Island Airport,Mili Island,Marshall Islands
5834,Captain Rogelio Castillo National Airport,Celaya,Mexico
5835,Ciudad Constitución Airport,Ciudad Constitución,Mexico
5836,Guerrero Negro Airport,Guerrero Negro,Mexico
5837,El Lencero Airport,Jalapa,Mexico
5838,Alonso Valderrama Airport,Chitré,Panama
5839,Enrique Adolfo Jimenez Airport,Colón,Panama
5840,Jaqué Airport,Jaqué,Panama
5841,Captain Ramon Xatruch Airport,La Palma,Panama
5842,Aerotortuguero Airport,Roxana,Costa Rica
5843,Barra del Colorado Airport,Pococi,Costa Rica
5844,Cabo Velas Airport,Nicoya,Costa Rica
5845,Islita Airport,Nandayure,Costa Rica
5847,Puerto Jimenez Airport,Puerto Jimenez,Costa Rica
5848,Tobias Bolanos International Airport,San Jose,Costa Rica
5849,Playa Samara Airport,Playa Samara,Costa Rica
5850,Jérémie Airport,Jeremie,Haiti
5851,Port-de-Paix Airport,Port-de-Paix,Haiti
5852,Cayo Coco Airport,Cayo Coco,Cuba
5853,Alberto Delgado Airport,Trinidad,Cuba
5854,Salina Cruz Naval Air Station,Salina Cruz,Mexico
5855,Long Banga Airport,Long Banga,Malaysia
5856,Congo Town Airport,Andros,Bahamas
5857,Arthur's Town Airport,Arthur's Town,Bahamas
5858,New Bight Airport,Cat Island,Bahamas
5859,Colonel Hill Airport,Colonel Hill,Bahamas
5860,Nassau Paradise Island Airport,Nassau,Bahamas
5861,Enua Airport,Atiu Island,Cook Islands
5862,Mangaia Island Airport,Mangaia Island,Cook Islands
5863,Manihiki Island Airport,Manihiki Island,Cook Islands
5864,Mauke Airport,Mauke Island,Cook Islands
5865,Mitiaro Island Airport,Mitiaro Island,Cook Islands
5866,Tongareva Airport,Penrhyn Island,Cook Islands
5867,Cicia Airport,Cicia,Fiji
5868,Malolo Lailai Island Airport,Malolo Lailai Island,Fiji
5869,Vunisea Airport,Vunisea,Fiji
5870,Mana Island Airport,Mana Island,Fiji
5871,Moala Airport,Moala,Fiji
5872,Ngau Airport,Ngau,Fiji
5873,Lakeba Island Airport,Lakeba Island,Fiji
5874,Labasa Airport,Lambasa,Fiji
5875,Matei Airport,Matei,Fiji
5876,Koro Island Airport,Koro Island,Fiji
5877,Rotuma Airport,Rotuma,Fiji
5878,Savusavu Airport,Savusavu,Fiji
5879,Kaufana Airport,Eua Island,Tonga
5880,Lifuka Island Airport,Lifuka,Tonga
5881,Mata'aho Airport,"Angaha, Niuafo'ou Island",Tonga
5882,Kuini Lavenia Airport,Niuatoputapu,Tonga
5883,Vanua Balavu Airport,Vanua Balavu,Fiji
5884,Niue International Airport,Alofi,Niue
5885,Pointe Vele Airport,Futuna Island,Wallis and Futuna
5886,Mountain Airport,Mountain,Nepal
5887,Maota Airport,Savaii Island,Samoa
5888,Apataki Airport,Apataki,French Polynesia
5889,Ahe Airport,Ahe,French Polynesia
5890,Hiva Oa-Atuona Airport,Hiva-oa,French Polynesia
5891,Ua Pou Airport,Ua Pou,French Polynesia
5892,Ua Huka Airport,Ua Huka,French Polynesia
5893,Mota Lava Airport,Ablow,Vanuatu
5894,Sola Airport,Sola,Vanuatu
5895,Torres Airstrip,Loh/Linua,Vanuatu
5896,Siwo Airport,Sangafa,Vanuatu
5897,Craig Cove Airport,Craig Cove,Vanuatu
5898,Longana Airport,Longana,Vanuatu
5899,Sara Airport,Pentecost Island,Vanuatu
5900,Tavie Airport,Paama Island,Vanuatu
5901,Lamap Airport,Lamap,Vanuatu
5902,Lamen Bay Airport,Lamen Bay,Vanuatu
5903,Maewo-Naone Airport,Maewo Island,Vanuatu
5904,Lonorore Airport,Lonorore,Vanuatu
5905,Norsup Airport,Norsup,Vanuatu
5906,Gaua Island Airport,Gaua Island,Vanuatu
5907,Redcliffe Airport,Redcliffe,Vanuatu
5908,Santo Pekoa International Airport,Santo,Vanuatu
5909,Tongoa Airport,Tongoa Island,Vanuatu
5910,Uléi Airport,Ambryn Island,Vanuatu
5911,Valesdir Airport,Valesdir,Vanuatu
5912,Southwest Bay Airport,Malekula Island,Vanuatu
5913,North West Santo Airport,Olpoi,Vanuatu
5914,Aneityum Airport,Anelghowhat,Vanuatu
5915,Aniwa Airport,Aniwa,Vanuatu
5916,Dillon's Bay Airport,Dillon's Bay,Vanuatu
5917,Futuna Airport,Futuna Island,Vanuatu
5918,Ipota Airport,Ipota,Vanuatu
5919,Tiga Airport,Tiga,New Caledonia
5920,Île Art - Waala Airport,Waala,New Caledonia
